MBID,Tonic_Annotation_(Hz)
e250286b-23ec-4413-a40f-9e22e9762c04,221
0d3c2ac9-58e0-4183-a8e2-97b11cbe54bd,253
bd603702-e3da-4cc1-b1b5-e8c169812583,274
a8987bb4-7ffc-4dde-b686-a23b60ff6418,237
a51ee336-cf2a-402d-a9a3-828e68125d13,450
0e360cce-fb27-48ef-886d-a3a01fb87782,408
ba654972-da9a-4cec-8013-16c02acbfaee,248
2c09c783-be32-4e34-81cc-1ebe6a1cfad2,124
782e709c-655b-4230-84de-0c8ea4d00d3b,131
3b6879d4-7838-4f4e-8ebd-dce5d830fbe7,275
71f55220-4120-4763-80c7-d9a979779df6,219
4a1a3ff4-c18b-4a55-aa47-84a30455fdf0,440
000b5f79-80e8-44ca-80e7-0e3bdc741631,219
c0ae080c-6a01-4b7a-898b-68e3525f78e6,196
81fba678-e057-4b67-a4a7-f9b057c303d1,109
5ba09072-4a04-40c5-8145-96146182c63f,220
71d339f2-d567-43da-a3ed-7edb1f644639,221
81a9ae33-e801-48a6-9d4c-19d2565cf881,219
d9cdfff9-fe30-4064-b271-f97dbcf6071b,130
3e83ae71-0b22-49b1-b601-a5918063989f,130
9b063ea8-0c59-4c80-9606-4df8080d3b05,275
55b83448-9675-4648-acd8-019e9af562b9,442
8d1f1536-f375-41f8-90ed-c2fc69ae9456,220
ce44c345-a4ae-4a6d-8dec-53a3a14b65c6,249
f6dd16a4-84e9-4cdf-8075-ce7dceedc483,221
5ef011ba-5457-48c7-a42a-e0095f642376,276
c4dfd451-b797-4330-b5e2-fa8817657d4a,215
dedd994f-3087-4857-b929-fccd574754e1,279
8a442186-8ed6-4688-a54c-a2b0337466a7,123
8a442186-8ed6-4688-a54c-a2b0337466a7,246
de550cd0-11fe-4294-bb6d-aefb4bec7d5e,445
230d1ea7-730d-4902-ba1d-a6fa3d8a3205,197
4945163e-c6ac-48b4-a2ff-d872e5ae5894,247
7654e479-9965-4c19-a460-b901c9b680d9,243
82b0a12f-fd18-4611-bd0a-5c58eb00927a,218
39a44c1a-0ea5-4942-8a67-7922544f579c,365
313add94-e93a-48af-ae22-1a0a113ee551,123
5f11df16-816d-4253-ae6d-04f6ed0ed309,243
6ee15ee9-312f-4411-8303-bcd763ff011f,249
ec972ba3-d7ab-4b1e-919d-0096699ba3d1,276
4ac225ac-578b-49b1-b288-33bd9bf89486,222
0f0e4bc3-67f9-4727-818b-983320e897cb,225
68251fbb-f1e3-4ee3-b456-0c2049ece51c,585
126c1231-3502-4524-a675-3b2b3eacaa52,219
f29a250c-fbf4-42c6-8de7-3afcfb171dc3,277
a9021077-8d17-4319-b34c-b475c7a6c3fa,221
5d5da698-7ef6-474e-9275-a00cdc6876d9,225
f44c5c6b-826b-4e0e-a77f-d28a7e3a3a7a,226
efdf1fa6-eae4-4e39-ac16-843676a45dfb,226
f2bc9abb-b421-4bad-b473-ac3b7c730797,269
efc5bd59-d748-4e0e-b518-b97906ad2d49,281
e9b1d69d-c02e-4834-8af7-e6674a8e1df5,393
79cf7e28-1ce8-4cec-ad19-673e21c7196a,329
13e1f926-4b77-4a06-98eb-0b4593b6ea7a,326
0c2933fb-4574-4131-8a10-d3f39f0d4ffb,383
2f356ede-270c-4632-a072-0e421ecd2212,446
7d5428d7-fc29-45b4-8517-f447c3a36474,323
3a29c7aa-eed2-45ba-9596-5b87dcf1375c,229
f3115293-7caa-4aad-ad1e-dd0316a95297,273
f5a89c06-d9bc-4425-a8e6-0f44f7c108ef,243
12ff7d56-b60c-4e53-917e-ef8ea912255f,291
393d14e2-6481-4255-9019-68971cfd949f,365
eb4d2af4-851c-43f3-aaad-33a5b7bd3c34,247
70133010-ffd3-4cf1-9707-17afc325055e,320
e9a61795-96ed-44e5-b405-3f95db06b622,259
7222c78a-865a-418f-8cdf-5f5372e436ab,327
3a8b4caa-c2a0-47fc-9804-6d99afdcded6,229
c82e7dbe-6ead-4a23-8a1f-6fed33e61c44,146
d484dcb3-50f0-41b5-bb40-114e5d7cec79,287
67c2ab9f-9a3f-4955-8351-0c8a4e7b1089,227
37865eed-7e06-4d3c-bd09-a65325f28799,272
c5467989-6877-4b64-8616-37b86bfa3f41,262
572f30ed-5321-40a9-8003-5b5d7ec45f3b,234
61a6e9f5-c98f-4bb0-a5bc-c06dfc4809e0,198
0fdfac1b-95ae-4f32-bbdf-8fa40a21f9a7,199
a0cd6fe6-f80d-488d-ad19-a9c85e1d52d4,396
26727bef-bf69-455c-aa48-24dc8039ff1a,197
19969513-c5a8-4850-ab08-592a55269585,386
413e513d-2e4c-4623-a258-07280e48757e,222
4abf9352-9fa8-4283-8bd5-01c707c36c75,442
e3e64435-585b-4fab-893a-488f4c60dfbd,428
e9bce715-3408-4c26-9448-f1bbd8b38893,116
6e0e51f9-7b1d-4f29-b16b-eb34e8db2966,109
f18dea69-8780-432b-967e-e6e03046dd83,430
d348d04f-d954-4555-b97c-61cab492a332,215
91b39d5b-7e8b-49fb-8e12-24381c364460,117
668d713c-ffef-4619-844e-bf4496ad8999,116
61b3188f-ef54-447f-b62a-fb0c21dbae61,107
474ae22b-5e50-42c3-971e-63c8f423d382,428
bcd8b512-844d-4d88-9635-2d3f42b5eb5d,117
3d81c420-01eb-462b-8b36-7368b8d22254,117
e9d04c33-5d2f-401e-ba12-df84fdb7a8c4,108
1d5903b6-24c3-4056-be98-aec246dc77c7,215
9146799c-7527-42d8-b43a-fc1b3d5402c6,108
7965b074-1dda-4993-983f-3aee5847f1b2,108
f1b28a13-08d9-42a9-8007-4e472b8fc917,216
69519d9b-3021-45e8-a14f-af20cbbfa18b,114
69f34475-b628-4fc2-a6fa-d58a90242598,107
023f82a0-fdce-4b89-8e1e-9822e9cc5585,108
80f6f499-4d92-4336-afcb-2872a27964d1,114
17b89450-1935-42d8-a482-9cf74b5ad61c,430
a19146b5-fd99-49f5-8388-9737ab8ee142,107
56bc074c-d1b5-48c5-b9ae-34e4e6a9810c,107
effb7c83-0d03-42c1-b43c-050d6406c439,107
0423e513-cb38-4d7a-b229-f96b9ef923e4,100
50a606de-68fd-4c42-8f3f-6714ad4e48df,222
420ec17d-83c1-44b8-a6b7-77ec9694c075,221
6d97f1f8-5f05-4c5c-b1ab-2757fdc3e746,110
6a3fad95-9d49-42a4-ba51-2774291fb029,110
4060cb37-1d12-4561-83ff-247955306f4e,110
6362a3fc-a46b-4160-8a47-ee803edc4e4e,590
fbc05696-f2b3-4e3f-8682-0564f10415af,150
763f1a55-d47e-4d77-b60c-b63cda1b48a6,148
35ae9927-e24d-4c73-9f55-3d5e5f155aa2,149
4cba17f6-686e-49ec-8a41-6f6b587d4489,294
5f5d7fde-fd89-4b06-8e31-01aff7dff6bf,148
1ac5e86a-9572-4acd-bf65-2b01ee06b672,557
567b1d9a-a046-4990-a203-247ef1824181,143
9543699c-c6c4-4fe0-be82-f47fb920ad9a,141
fce6fe19-a1cd-4bdc-b04a-dc6d1c2ca8c8,141
9b078720-107f-48d0-bf78-e51cd49af80e,267
179b19e1-39e1-4703-a6db-17e0d71d9006,131
8e268636-13ac-43e2-b9ca-f121fac1986d,131
fd9dcc6f-2478-4b41-b350-bcd3227547a5,130
b773bd1f-389c-4671-b0ca-5ba6569c8f61,140
9c6d102b-cd7c-4042-9e08-7cb9189bb777,227
62f7dbff-6db3-4356-a597-5e4270c5fd93,130
29d3a323-dad2-4bb5-9bd1-c6d9d2b6ddce,211
1a31ccd7-3cd5-4742-acb0-55395854ab7d,160
430eb7d0-5326-4883-ad04-a6c8f2383ee9,137
4d31c637-9d6f-491c-bf29-dd952a1aa739,142
ff830280-57e1-4e6a-a833-1fe4bb486c7a,132
88c1325a-a00e-40e2-9e6d-56c1a7f8a882,132
66ab24e6-b7a6-48c1-8752-93e2c143ebd2,132
6e36edc4-5c38-45f6-a7ed-b78bffd9a437,131
7fe3bc44-0c7b-4d5b-937a-3f0f99ce182a,249
499380b2-13da-414c-a8ae-e9367ff6f176,124
e54a1762-9464-45c6-b399-0fb3ec6aff67,124
3d67b615-8e05-41d4-a8c7-f085d2b599bf,150
b1a6cad5-1332-47ca-bea0-ad6580f5a304,149
3c25f0d8-a6df-4bde-87ef-e4af708b861d,150
f7fb9c8b-66f0-4604-b702-0df018f142eb,150
fd9c8cbc-22b5-4b26-bc83-e350c2bf4f47,264
770fcfea-b9b7-4975-aa5c-2bd08d5385fa,132
6cfb7b78-03d9-4a06-b0aa-7016c1b2dd0b,132
517bba01-b366-4019-b13a-f36a35945783,132
b36bcb1a-00a4-43c4-b2de-317929ce2215,261
061701fa-5a19-4129-afc4-892c226357b2,133
a95ba115-76e2-4cf6-bccb-30a6c790fcef,263
9d39fada-8614-48e2-9a2a-f94089d47acc,132
eecf1051-00ce-4abf-8c2d-bdf2d5e351fb,139
c04e40bc-04b3-4f0e-a2d8-0ff972491218,131
053d8016-3212-4da2-bf8a-43bcafcdda80,131
aadaddb0-d4c4-4a01-b5c2-4f6aa596db1c,164
a1facf99-2565-4e66-b595-397ee79c3a75,164
6bf2fee4-72ac-4ba4-b46d-0cc0ac385887,146
19a33798-f26a-4d43-9aba-61eaad0550cf,130
32e9be56-5de2-44de-8915-b07ef13a86b9,262
533738a4-a46f-4f15-9bd7-5d2756b36326,130
0078bf5c-9dd0-4388-b772-a73fbe47746a,146
261e7a72-79f3-4655-8b03-e85cf2093249,147
14fe6855-e77e-4980-bafc-ab0f6e9e08d2,146
a10fbfc2-15b7-4128-a5b5-09f3efb62e0d,147
9cd14e7e-56d2-4a6f-b382-a50dcc894cf4,146
cafcdeaf-e966-4ff0-84fb-f660d2b68365,130
8101cde1-f900-4cc4-8834-cdcfb2ac3150,286
95a4c5dc-7e33-46fd-931a-6ac4c615b33e,309
a859f95c-36e8-471c-8d7d-45c4abb73e64,259
e652dfd7-79fc-4dd7-83ae-e586c62c45c4,287
90948b2c-3e2b-42ee-afbc-387ba6725606,135
c237483a-3d12-44af-a90f-43ff46ceec85,134
49f09857-46ef-499a-8c01-93a2bbdb8eaa,133
2d6c58a2-44c7-4616-80c4-8d68c0f1adb8,133
02e67c8b-201c-4ca9-8f9e-ee31d5fe5555,264
de6303ac-c45c-44fc-a91d-fd58c01b4aa5,180
cf7226ec-a950-497d-8572-83b12b66875e,135
d8639637-dbaf-4bc1-91a3-1eb932fd233b,135
ce48b4ee-ac4a-46f3-b99f-dc1d5912a304,132
650471e3-f7b2-4747-abc3-12dac64d6e24,271
24287777-8cda-4700-ab3a-b605ac227ec8,132
bb9fc9e0-b38e-4db2-a3c2-327ad3d1fde1,138
0cae767b-510f-4b23-8d91-cca9fe6a5ba1,149
61c81e80-2704-4b3a-a29d-d96b618378d3,148
ba269207-166d-4f92-933e-4d47f3810621,138
5aafeea6-9d42-4eae-9e15-e6618fc23a41,139
4b31c6ab-c401-42d7-af85-a330aef806d3,149
b23ceb4a-6984-4e4a-a1cb-5179649f37c5,447
468b4cd8-686b-44d1-8942-ead2f7fd67f0,124
b8129745-b579-4282-9583-5db5ad3acae8,124
85376dba-1f3e-4f6e-bf4a-48d86291a807,124
a10cb53a-7cd6-4ff7-9c0e-0d5ee776060d,276
4162f633-9b4f-4cdf-8284-fdb5aee5f7c4,278
601ae54a-4068-4d63-97e5-790710de6528,148
13b68205-d967-48f2-87ab-e3da4a3c3716,130
d64d37d9-85bf-45fb-8fb3-8afdcd86adfa,109
2a215ec8-617c-4dd9-bdcf-b945f8484f57,121
254ea8b1-3924-4ef2-b799-544fc062b7e6,119
45fb7d15-ba1a-42d6-a5cc-7d22d4457cc9,167
9d5fcee2-3e96-465f-9229-bb7b7419bf3f,141
3e693d6e-d7da-4b40-8101-a3e8c40e470d,141
8a78b8e5-8357-40a8-9546-66f3ea95d39d,121
4bd9be50-341d-48eb-b202-1049f5a0e315,109
8ef9709f-a058-461d-96cd-34533c785743,109
6058e35b-b0b8-44de-9492-8e7d7de5c130,141
cbb0e057-b738-4102-ab1f-6decec3d3cce,137
ae75f106-3b23-496c-b875-4d5d4d64268b,139
1fd7a362-cf14-42fa-a6c6-0093857ca5eb,119
f9c80d29-40aa-4a18-8946-5f8248022af6,139
ac93e95e-a90f-4057-9dbf-6ccbb3099913,137
76bc8ae1-9b4f-4afe-8596-8ba01d05b23b,149
1eb96121-80c7-41d7-a5a8-312919287c39,136
99a039af-cdd5-48b9-8a63-9982534bf272,124
9b821a35-6703-4ebf-918f-5c36c02ab90a,145
cd08cc60-81c2-41e2-9ea0-a3b07db0f5fa,155
04f01c89-ed40-42e3-b892-00b62fb4b11b,137
f15aefca-96b4-40fa-b9d7-51c490b03ba9,146
0caa4246-eb62-499b-a400-b5f23750e0cb,293
9d2f4c08-402d-4fb9-a01d-5d2b71f113f3,575
6f33c17d-8cf0-41e5-a7f2-06f6b433ad84,163
e0f62bc3-3294-4853-a596-9c22a4442610,118
e3135273-be84-465e-99d9-c006e7e281c3,149
8c47049e-1517-4243-a3bb-49817a199b32,297
eceff368-5780-4d78-8283-87ce60691663,249
ce616fc7-384d-49a6-8e3a-b471c42c9cca,117
212d5c66-32d4-4346-b197-00c941a6461a,148
faddb9eb-33f2-4c43-9f26-6f355b4a8974,146
d8e17a91-5d2a-4304-8d60-05d34378a851,151
af17dd4b-f0a1-4d36-b3de-c1770c06b3ac,152
5cf01def-deb0-453d-826e-87fe77243881,109
742b6cc5-d829-413e-a1b3-b29e2bbc6e6d,151
57571c0e-a419-4379-b142-fae8a1eb3919,113
33a89d65-e89c-4f36-9c34-2f27bac6b34d,134
e23ff977-e15b-44bb-a473-09753f2266d6,134
1c5a08a4-c8aa-4a08-a5e5-565651470eef,144
6f7a74aa-b55e-43a5-96c0-51ffd4cc88b9,134
76b3b054-70aa-40ea-89a0-f5b4dde182d1,134
f6930241-3ed8-4ea4-8faf-ea0d7027ee06,149
271f1990-cf6d-48e4-ae7f-5a1ebca6dce5,149
ab688191-3b3c-49bd-b7ec-a950cf422315,151
df127c40-c1e2-4a6c-929c-7ef7ef2fe7c1,150
9e15fb14-3315-4feb-9c18-4f938dceebbe,148
b724ddb5-2fc7-4108-972f-764f8c850d30,134
7a31af52-be40-4f09-b9bd-67c17ed73740,133
fc99ad70-9a45-477e-8760-be8ad5773785,149
e799ee70-d391-4c33-9067-9d81d60c5a3c,268
a779a85d-f714-41bf-9b70-eb612852bfd8,132
a93b325d-41e1-4704-b9da-8ec5a6d1e584,133
71f2d6d4-d905-4fd3-a7a3-43252f27f7bd,134
30d0f564-eedb-482d-bf53-306dab37e0e7,146
162b4c5d-20c0-4d48-b7ae-a6b3e00b486f,145
16175e26-1a89-433c-97b1-cb736c1f8141,145
f925a8a6-5754-4d7d-a891-0b2b13c1f34f,144
398d9240-32f5-4930-9895-a04ff3f6a67b,248
04dac285-4eb2-41a7-87c2-08879e709937,596
d3ed992d-53a7-439d-b380-0c664ff45ab1,130
eabdf85f-655b-4893-9cea-1ea4af696ce7,246
059e248d-3927-4d93-970a-0ed799dffef5,124
761d5a3d-8ded-47cc-b545-c3a49397c9df,124
3b2b8417-0965-465b-ba46-819f3dca850c,123
553156d7-dfbc-4f36-8feb-c71c4e639a7c,298
91190b2d-f09d-474e-80c4-32515ce90c04,145
6fdc4617-e491-44b2-998c-3bc00bc2085e,291
79bf5cfc-f6b2-4197-9e8b-79d2b27c89d7,144
ec3e4f20-55f2-454e-953e-719a6a806638,150
01b26654-960a-4a5d-8f91-4cbd96631715,118
8b870a7a-6905-4494-b786-adb6380ebc96,125
e98f5540-1dd2-4a1a-abf4-6c9ef8ea05d1,118
92261dbd-c35a-49ed-86ec-52067f703867,145
761df7ce-d396-4a44-8f7b-ceb7f5d6cd46,144
6d85d7ff-0e01-47ce-ad45-2f173a48d8c7,145
09c12dd2-55d3-47f6-ab41-53ea921ebb3a,144
0d167a17-d572-49ca-a4fd-bc8523658b82,144
137fed0f-6518-4ac1-88b3-eff8b2f22928,144
7dbeaead-c7c1-4fec-9081-d3408833694f,147
e41043b8-be39-4858-9bd7-9739f24b4c84,144
66922354-4cd2-4767-a4f5-b8553dc6040b,147
5053e089-e91f-41e6-a615-524a9e1fea06,153
5e2153e4-03fc-47a7-b91c-67c085ada644,144
1afeb949-5c80-467b-a9a2-8a5aa65deaf6,153
05a042d5-7f74-4f57-89b4-04dd1faeb277,143
a96eaf4e-61a6-4695-925a-457573d22c76,146
340ee45d-590e-4bf2-a320-c4b522096091,146
8edc92eb-cee2-4c96-849a-faba62740dda,153
7b16678a-4ea2-403f-9018-f48c7c0eff36,146
38999e51-2ebe-4597-b004-dcf3fc526449,146
cbbc59ec-1980-4d68-86fd-7406564f7572,146
bfbe23cd-613c-4008-8ca1-89292147cecc,146
9194278e-71e9-41a5-85de-fac3b817446f,146
202311f7-1301-44d3-b5cf-f99c744cc6e2,128
490bfed2-a356-46f7-8ba8-02bbfe92a688,128
a1a2efdb-c589-4b21-84ba-51d4644421f0,146
7afc9374-aeef-44c4-b2e1-582ffd58f4df,145
64556a4d-d83f-4c49-9384-c13507c781de,146
649cf808-b63c-4cf2-be5e-ad0baddd690d,145
fef19ef5-bcec-4255-b6b2-56e8dd461738,152
1003d44d-3323-4d27-9a43-790982564009,147
37c307e8-4f54-41c1-b7f3-d55ca67bf7fa,148
ba9f98c9-9eea-4721-bb17-f4a8f1ef4399,144
ae963e34-08d4-4b01-8a65-4f84f79ac85d,151
4d9f1f51-9d0d-41b4-923d-ad4a308a3e75,145
23eb5ed9-17bc-41a8-80e3-6721e9bdbf79,145
c2ec840e-0638-4b21-8050-68540383d764,261
5967d486-1226-44c7-baa6-88e4c68da88e,261
39b12274-2190-4a8f-b48f-920ead4e7397,261
aa58b3a3-3c01-4161-95d9-5679db655fae,261
06aa9086-416d-4fe0-98c2-c784c27ef633,304
efae832f-1b2c-4e3f-b7e6-62e08353b9b4,225
812828e6-3cb6-49c5-93fe-bf649c3096ae,262
74dec8ee-f92a-4439-abdf-d451877cd939,447
fb9a9a91-1cb4-4f94-afd9-85439fa986a8,438
ab96e550-a449-4c86-b516-b8f3931f9867,164
faeb9818-e5f6-41f9-b43b-381396e4e5a1,438
d398337a-6086-4e21-9000-4e026a5d9d3f,219
c801f52e-9b28-49a5-8503-b405ec8745a2,248
9ee7f4f2-4e4f-4a59-adf4-c97cbc3d3f14,219
97aac8e6-36dc-431b-a3d2-7263a3c4e600,109
93f4b48f-d708-4a48-8f94-9417fb0617d5,184
79ea0c78-f3fc-44ee-b1ef-1b63b6516731,184
d6f4a332-ea1b-48dc-831c-32686d2b9469,184
91b26f77-d1f8-4db8-9a5c-e6d4769372d7,331
ac3bbc59-b0ee-4c32-a3d5-ad1ff7d1d5c5,220
9a7fd7c9-76a0-4e00-8f13-98792f5e6601,183
fe69785f-6e3f-483a-b562-18087150f57f,330
fe69785f-6e3f-483a-b562-18087150f57f,629
c6f2a2ab-9d8d-4ad3-804c-542deeb80ed0,166
dfbcb986-818d-40b3-9c58-b209fbde171e,194
bcbc7d1a-ed15-4e7d-8911-ecd011a42228,164
c06b654d-c844-4494-b33f-e2157cd6edc8,259
1fb632ce-3c6c-49a5-9b58-f6512e3a54fb,273
907406f8-fef4-4e9a-b83f-687f61074450,164
0d43bdfa-b577-436c-8a16-f3697213a47d,388
8f7579ad-a65c-4cd9-a0dc-0e0b65a853e5,164
3e9a74a9-efdf-478a-8af6-c4992d9350d2,273
7d6b9abd-7527-42d2-a173-e44bd3335832,329
93f978bb-be80-4142-bb47-63433081b8c7,329
76586ff7-f247-4f05-a4b6-7031ed8e7428,275
0e8b2d0c-7b8b-4296-8a5d-c0b743be802a,136
ea4b5b8e-b821-478e-834e-5b560a2304a7,320
6dba7dfd-42d6-42a6-a077-cf652f63030b,380
24e2d3b6-070d-418a-8dac-5cac66976eff,190
5a44e069-3b0e-4a28-b515-b7b257b6373a,431
5577911f-ea7e-4ae7-969e-9cd516ac4a6b,165
632656b7-6a0f-476a-80cd-ced396bdb57c,270
88508e60-9d65-4645-8457-66921c3cdcaa,383
d5086880-0267-4e12-a96e-b3ff00cb1b03,375
a12f836a-f7db-4108-981f-dac81ce1f725,241
66b611e8-7c17-4256-afa5-3a97a457f8e3,179
3c729006-0bbe-456c-8e54-9bb5523493fe,179
403fc6d6-899b-41eb-90bd-8fd948e3bfd9,263
08246c58-0234-47f6-bd84-acca968d2a8a,136
5f2b7c4c-a4d7-4872-a17f-2727cd404efa,366
5ba9a2bb-aca8-4d40-927c-ea07cb0fa5f1,348
e2ff4b7d-7929-4413-ae2e-f7c4f180403a,293
ad25235c-895d-4b5a-a8cc-cb461a41e092,145
92bf1bd6-5bac-4ca6-b29a-0c9c8ee76e34,327
d66cdf28-b7e8-42c8-a181-8f2379087859,222
13f91d83-ff9d-4588-958d-d75af6014e03,164
e4bc1d14-a243-428a-9846-2af40129d9f9,329
72361d21-fb80-47d8-8cf9-080e2238e03f,165
30545c7a-9a58-425c-933e-73c2cb1de0f2,293
61fdd14c-5a46-496c-a2c6-4a2efd04fba7,293
f08e4e1d-af6c-4660-8d5a-210541513f9f,331
abf4d0e7-2e8d-4bf5-944d-ee6aebfd2a9c,329
96702cde-f5f4-4d05-b6b7-750dccb49078,292
26da8cac-5757-4494-a214-25ad564fc292,292
3096203b-2abc-418c-9283-710fa92946e6,122
2eac492b-ee3e-41cd-ad68-6196cc4765e0,244
