symbTr,MBID,Tonic_Annotation_(Hz)
kurdilihicazkar--pesrev--agirduyek--vasilaki,38718d2e-ffbb-47d2-83e4-451c924cb8f2,147.3888
kurdilihicazkar--pesrev--agirduyek--vasilaki,68f9d530-c333-4115-942e-e07c5d918285,147.499
kurdilihicazkar--pesrev--agirduyek--vasilaki,f0e5a80c-35b6-4cd8-8426-c36f232f6b8a,147.3084
kurdilihicazkar--pesrev--agirduyek--vasilaki,3a8b4caa-c2a0-47fc-9804-6d99afdcded6,229.8162
kurdilihicazkar--pesrev--agirduyek--vasilaki,01b485c1-4c1a-4916-b8a5-1ec913da1c45,218.9969
kurdilihicazkar--pesrev--agirduyek--vasilaki,4ac225ac-578b-49b1-b288-33bd9bf89486,221.489
kurdilihicazkar--pesrev--agirduyek--vasilaki,b44c4a66-e640-437a-b750-632d9ac0b51a,147.142
kurdilihicazkar--pesrev--muhammes--tanburi_cemil_bey,327ee681-c106-4530-aeb0-eea6ef1160de,146.3861
kurdilihicazkar--pesrev--muhammes--tanburi_cemil_bey,163dfec1-0ee0-454a-9438-620011824a43,111.7236
kurdilihicazkar--pesrev--muhammes--tanburi_cemil_bey,3c334962-91e1-4766-8a3b-12b2e2fb48f3,142.5257
kurdilihicazkar--pesrev--muhammes--tanburi_cemil_bey,3ac39ef1-83e2-40f2-b51e-c3b826797586,146.9534
kurdilihicazkar--pesrev--muhammes--tanburi_cemil_bey,86eddebc-b9b8-4069-aac8-b6d789c6f1c9,293.6172
mahur--pesrev--duyek--gazi_giray_han,031a6e72-903a-479a-9a4c-e2a3335e4a0a,217.714
mahur--pesrev--duyek--gazi_giray_han,af43594d-a399-4de8-a1b6-7473790668bf,152.7235
mahur--pesrev--duyek--gazi_giray_han,812828e6-3cb6-49c5-93fe-bf649c3096ae,263.7896
mahur--pesrev--hafif--rauf_yekta,b5e91522-304b-4492-8d5e-7f06a1200f5b,297.8195
mahur--pesrev--hafif--rauf_yekta,b85ed280-a5fc-4734-b8c7-bdff82916458,437.9542
mahur--pesrev--hafif--rauf_yekta,9ddf9418-0de9-4678-8219-f788f2b7a794,389.9365
mahur--pesrev--muhammes--tanburi_cemil_bey,02a2e9b3-9054-43e1-a25f-d820dbce5f0e,146.2228
mahur--pesrev--muhammes--tanburi_cemil_bey,d7162502-069c-484a-9d60-3c2d0908e2bb,146.4909
mahur--pesrev--muhammes--tanburi_cemil_bey,87947c7d-e887-4af9-8baa-85c7e6873812,222.5247
mahur--pesrev--muhammes--tanburi_cemil_bey,d2ebf684-8b56-418c-866a-0fa6b8acda1e,300.2089
muhayyer--pesrev--devrikebir--tanburi_cemil_bey,8765900f-e7d0-46c7-910c-25d035e27b28,124.2964
muhayyer--pesrev--devrikebir--tanburi_cemil_bey,4f7a2ecb-a3ab-49ba-87d7-7e9393b86224,164.8354
muhayyer--pesrev--devrikebir--tanburi_cemil_bey,7e8d6990-0fdd-4ff8-b468-931698bffc75,191.3926
muhayyer--pesrev--devrikebir--tanburi_cemil_bey,10ea34da-47c8-40b6-bc6d-98d119438476,496.348
muhayyer--pesrev--devrikebir--tanburi_cemil_bey,06edff91-7617-4b6e-ba75-4537a56f86cb,443.0855
muhayyerkurdi--pesrev--devrikebir--asdik_aga,b5000f5b-7760-4ff8-a6d1-e79a80b1bc9a,221.1168
muhayyerkurdi--pesrev--devrikebir--asdik_aga,cbe560df-3367-42f5-b5b7-46abab6668f4,248.2886
muhayyerkurdi--pesrev--devrikebir--asdik_aga,e53fafa0-051e-4b79-adad-52fda8488eb1,146.5047
neva--pesrev--devrikebir--tanburi_cemil_bey,6661b6f2-a306-4c77-8c16-a44870e17bc4,220.8919
neva--pesrev--devrikebir--tanburi_cemil_bey,0a4e0d9e-d11f-4e33-bf8b-1fa6a42db048,259.9949
neva--pesrev--devrikebir--tanburi_cemil_bey,89df4e91-0124-401a-996e-e88b3d7aac3b,299.7078
neva--pesrev--devrikebir--tanburi_cemil_bey,f088f793-d53f-490b-abc0-49890520d9ce,205.6681
neva--pesrev--devrikebir--tanburi_cemil_bey,fc14250c-335e-4fe6-8d1b-3abb80e1280e,496.8274
neva--pesrev--devrikebir--tanburi_cemil_bey,fae0590a-0913-4637-8005-e85e0c439063,447.978
nihavent--pesrev--devrikebir--tanburi_buyuk_osman_bey,c23fcd78-19e7-4e63-9553-844866e65719,221.5901
nihavent--pesrev--devrikebir--tanburi_buyuk_osman_bey,d622b79a-a6f8-40f9-b002-3b68890e4e25,353.1193
nihavent--pesrev--devrikebir--tanburi_buyuk_osman_bey,cacb6db3-80cb-4389-a8a7-b566231d76c1,222.8538
rast--pesrev--devrikebir--giriftzen_asim_bey,31bf3d56-03d8-484e-b63c-ae5ae9a6e733,148.118
rast--pesrev--devrikebir--giriftzen_asim_bey,151a16ea-69c8-45af-b2e3-d7bb03e8108f,293.2813
rast--pesrev--devrikebir--giriftzen_asim_bey,4fd96367-4586-4303-904c-e313511ea871,442.8734
rast--pesrev--devrikebir--giriftzen_asim_bey,5c14ad3d-a97a-4e04-99b6-bf27f842f909,394.088
saba--pesrev--devrikebir--tanburi_buyuk_osman_bey,9df6ac0f-60fa-4ffa-ac25-a1300c5d5e07,248.8828
saba--pesrev--devrikebir--tanburi_buyuk_osman_bey,0f0e4bc3-67f9-4727-818b-983320e897cb,225.604
saba--pesrev--devrikebir--tanburi_buyuk_osman_bey,fe69785f-6e3f-483a-b562-18087150f57f,661.749
saba--pesrev--devrikebir--tanburi_buyuk_osman_bey,f2ad97fa-6757-40aa-ba80-09546311167c,498.252
saba--pesrev--devrikebir--tanburi_buyuk_osman_bey,35ae2c0b-fd48-41ef-a9b2-f439daf636e4,443.5868
sedaraban--pesrev--fahte--tanburi_cemil_bey,a14612c9-d8c9-4016-bfd9-3c060c99f80d,224.3089
sedaraban--pesrev--fahte--tanburi_cemil_bey,97be5bdd-cef0-4103-bbb7-bff77d6b0a30,297.362
sedaraban--pesrev--fahte--tanburi_cemil_bey,d478d6a5-da52-4b59-a7b9-06fc1ae97356,439.9831
sedaraban--pesrev--fahte--tanburi_cemil_bey,d903d1e3-7073-4a25-a298-3942eacc4dd2,219.231
sedaraban--pesrev--fahte--tanburi_cemil_bey,e97d55c1-1516-4a6d-b59f-4a3a8eec7734,328.656
sedaraban--pesrev--fahte--tanburi_cemil_bey,5ba945f0-6c34-4807-9411-9a81b9864eb9,286.4973
sedaraban--pesrev--fahte--tanburi_cemil_bey,d577f350-4f54-4739-a581-fba2a0792679,220.8738
sedaraban--pesrev--fahte--tanburi_cemil_bey,7b89c84d-5113-4f7d-a520-b9f84e905680,200.0571
sedaraban--pesrev--fahte--tanburi_cemil_bey,93304853-09e2-4c28-9c46-c6676c47a53e,238.7971
segah--pesrev--devrikebir--yusuf_pasa,e49f33b8-cf8a-4ca9-88cf-9a994dbad1c0,246.9739
segah--pesrev--devrikebir--yusuf_pasa,fdb79bb2-f598-46f6-816c-e13eff4a0300,369.6285
segah--pesrev--devrikebir--yusuf_pasa,ffbb13ed-4dd6-44b2-b790-166fab2a9fab,487.2748
segah--pesrev--devrikebir--yusuf_pasa,dedd994f-3087-4857-b929-fccd574754e1,281.0263
segah--pesrev--devrikebir--yusuf_pasa,78fe0c45-0d5e-4ba5-a340-d9985f63f23a,195.2368
sehnaz--pesrev--zencir--kemani_ali_aga,aa36f309-44be-49b8-b05c-89eaca289515,220.2171
sehnaz--pesrev--zencir--kemani_ali_aga,9ecda61d-6eaf-4f72-bf10-88d317af1e67,444.3908
sehnaz--pesrev--zencir--kemani_ali_aga,d828d94e-4ebd-48dd-a37a-bb704f0ff7ca,377.5698
sehnaz--pesrev--zencir--kemani_ali_aga,a7069ec6-bdd1-464c-8ff6-c16da0c2fe2b,195.6274
sehnaz--pesrev--zencir--kemani_ali_aga,a4ae59f3-6917-43de-85b6-c8b4a033a3f0,330.7978
sehnaz--pesrev--zencir--kemani_ali_aga,83359afb-6c01-4708-9cc4-4f70d78661b7,496.7597
sehnaz--pesrev--zencir--kemani_ali_aga,e71c2c21-aeee-4525-ac00-b967cb9486bd,443.0544
suzidil--pesrev--devrikebir--tanburi_ali_efendi,50a606de-68fd-4c42-8f3f-6714ad4e48df,221.4994
suzidil--pesrev--devrikebir--tanburi_ali_efendi,7521d969-17cc-47fc-bcf5-4d8b9183ec6d,374.584
suzidil--pesrev--devrikebir--tanburi_ali_efendi,3a5c79f5-8244-496a-8f3b-2e8418fbcfcd,406.4186
suzidil--pesrev--devrikebir--tanburi_ali_efendi,f3631f34-0e07-4d75-a93e-bfc0d4769816,247.8666
suzidil--pesrev--devrikebir--tanburi_ali_efendi,b72bc43d-4f90-4a06-88bf-081d0cd639aa,247.7187
suzinak--pesrev--cember--tatyos_efendi,9348afbd-cc69-436e-a2d8-fbb1a6b69af0,220.8576
suzinak--pesrev--cember--tatyos_efendi,f3cac2dc-c372-45f6-945c-70ab6aeecd5d,197.4298
suzinak--pesrev--cember--tatyos_efendi,8ce575c6-3ba1-4b98-926f-66121923f1e9,293.6117
suzinak--pesrev--cember--tatyos_efendi,3b86eab6-3c17-494f-9ee6-e43a04ff1645,269.7733
suzinak--pesrev--cember--tatyos_efendi,665b61c1-b631-4053-a765-05477a947ed6,147.5356
zavil--pesrev--hafif--zeki_mehmed_aga,92cb0e00-3b9a-4b89-8ff2-b5dfd32408a9,219.917
zavil--pesrev--hafif--zeki_mehmed_aga,1a16c089-71c8-430d-ae02-50a905a99c8b,396.9488
zavil--pesrev--hafif--zeki_mehmed_aga,084d3868-f5b9-423b-8da4-f3e21f752221,262.8157
hicaz--sarki--aksak--gulsen-i_husnune--rifat_bey,43eb5695-1219-4f4d-a092-b749b8ebdf3e,229.961
hicaz--sarki--aksak--gulsen-i_husnune--rifat_bey,47a793b9-09ca-4baf-abe8-596a2b7931a2,329.2914
hicaz--sarki--aksak--gulsen-i_husnune--rifat_bey,6ee15ee9-312f-4411-8303-bcd763ff011f,248.5853
hicaz--sarki--aksak--gulsen-i_husnune--rifat_bey,9fbdd235-9292-4784-a123-3452b9ed3da1,248.3594
huseyni--sarki--aksak--ezelden_asinanim--serif_icli,b997998d-0b78-485a-a04b-e50996e65753,250.7944
huseyni--sarki--aksak--ezelden_asinanim--serif_icli,a527a6bf-3ddd-4622-abb8-f93d80848e6c,247.9754
huseyni--sarki--aksak--ezelden_asinanim--serif_icli,ddf460d8-f687-4770-9486-be5a71cf40b9,146.1612
huseyni--sarki--turkaksagi--hicran_oku--sevki_bey,bab68f5b-1388-4c7e-9b0c-f32adf1f3343,247.2264
huseyni--sarki--turkaksagi--hicran_oku--sevki_bey,4e9ca7ac-ca25-4154-be79-a6e2d95577fb,221.3665
huseyni--sarki--turkaksagi--hicran_oku--sevki_bey,56b567da-b428-45cd-b76a-b944a91bf876,250.8467
huzzam--sarki--curcuna--kusade_taliim--sevki_bey,8a0260ac-e8a5-42ed-af2a-a6f547996281,184.7276
huzzam--sarki--curcuna--kusade_taliim--sevki_bey,efff51fe-bd95-45ae-b456-f2712e37aeff,498.2283
huzzam--sarki--curcuna--kusade_taliim--sevki_bey,5f11df16-816d-4253-ae6d-04f6ed0ed309,246.1625
huzzam--sarki--curcuna--kusade_taliim--sevki_bey,ec972ba3-d7ab-4b1e-919d-0096699ba3d1,276.7166
muhayyerkurdi--sarki--duyek--ruzgar_soyluyor--sekip_ayhan_ozisik,d461a2ae-239a-47f9-b3e6-dfffc6a1c944,222.2939
muhayyerkurdi--sarki--duyek--ruzgar_soyluyor--sekip_ayhan_ozisik,f5ddf3aa-643b-4655-a9b7-3736e9a4d3d3,219.4689
nihavent--sarki--aksak--bakmiyor_cesm-i--haci_arif_bey,230d1ea7-730d-4902-ba1d-a6fa3d8a3205,197.3445
nihavent--sarki--aksak--bakmiyor_cesm-i--haci_arif_bey,f5a89c06-d9bc-4425-a8e6-0f44f7c108ef,243.6663
nihavent--sarki--aksak--bakmiyor_cesm-i--haci_arif_bey,5b37f0bb-0741-4800-8358-13cc5c36c53f,196.3536
nihavent--sarki--aksak--bakmiyor_cesm-i--haci_arif_bey,4d31e375-8615-47d4-bd99-6d2e8be920da,259.7359
nihavent--sarki--aksak--bakmiyor_cesm-i--haci_arif_bey,e28692ec-a820-4928-8b1b-de77bfa14f8c,220.6271
nihavent--sarki--aksak--gel_guzelim--faiz_kapanci,94e959ce-b1f6-469c-9996-8847bd43c1ec,294.9524
nihavent--sarki--aksak--gel_guzelim--faiz_kapanci,63508c21-072a-4e16-b58b-7236f1b2e998,221.5595
nihavent--sarki--aksak--gel_guzelim--faiz_kapanci,39b12274-2190-4a8f-b48f-920ead4e7397,261.3006
nihavent--sarki--aksak--gel_guzelim--faiz_kapanci,e7be8c2a-3309-4106-93b7-76cd6102a924,451.6163
nihavent--sarki--aksak--gel_guzelim--faiz_kapanci,727cff89-392f-4d15-926d-63b2697d7f3f,300.52
nihavent--sarki--aksak--koklasam_saclarini--artaki_candan,13638e3a-eb16-47db-b6b2-f0091a7b8210,259.5121
nihavent--sarki--aksak--koklasam_saclarini--artaki_candan,43220d3a-3ca5-429d-a217-6ef996abdd72,216.4234
nihavent--sarki--aksak--koklasam_saclarini--artaki_candan,b49c633c-5059-4658-a6e0-9f84a1ffb08b,222.2882
nihavent--sarki--aksak--koklasam_saclarini--artaki_candan,460ae776-552e-4d00-a06d-ef4fed327225,217.7416
nihavent--sarki--curcuna--kimseye_etmem--kemani_sarkis_efendi,6f385d4b-7f78-4619-9225-6d7388c6e234,222.0827
nihavent--sarki--curcuna--kimseye_etmem--kemani_sarkis_efendi,567b6a3c-0f08-42f8-b844-e9affdc9d215,260.6386
nihavent--sarki--curcuna--kimseye_etmem--kemani_sarkis_efendi,a9f248af-5c07-4524-a8dc-7c0a6455a646,220.3371
nihavent--sarki--curcuna--kimseye_etmem--kemani_sarkis_efendi,5967d486-1226-44c7-baa6-88e4c68da88e,261.8629
nihavent--sarki--curcuna--kimseye_etmem--kemani_sarkis_efendi,8d1f1536-f375-41f8-90ed-c2fc69ae9456,220
nihavent--sarki--curcuna--kimseye_etmem--kemani_sarkis_efendi,c0ff469f-9b1a-4a7f-a47a-d04382d03a29,293.3132
nihavent--sarki--duyek--bir_ihtimal--osman_nihat_akin,7d345253-7b73-4d81-91ab-878188d9d127,220.6795
nihavent--sarki--duyek--bir_ihtimal--osman_nihat_akin,c2ec840e-0638-4b21-8050-68540383d764,262.7374
nihavent--sarki--duyek--bir_ihtimal--osman_nihat_akin,6ce65215-0527-4b24-a4f1-a5a29ffdbd70,222.3967
nihavent--sarki--duyek--bir_ihtimal--osman_nihat_akin,dd536d18-aa84-451c-b7e5-d97271300b8c,199.6254
nihavent--sarki--turkaksagi--nerelerde_kaldin--ismail_hakki_efendi,0752cce3-ce78-4a5c-83f6-a708a93fc581,220
nihavent--sarki--turkaksagi--nerelerde_kaldin--ismail_hakki_efendi,aa58b3a3-3c01-4161-95d9-5679db655fae,262.8373
nihavent--sarki--turkaksagi--nerelerde_kaldin--ismail_hakki_efendi,eaea7f6b-fb94-4982-9ac7-162f1503182a,391.99
segah--sarki--curcuna--olmaz_ilac--haci_arif_bey,f3115293-7caa-4aad-ad1e-dd0316a95297,273.1805
segah--sarki--curcuna--olmaz_ilac--haci_arif_bey,8b24352c-035d-4c14-97ea-838511ec03c0,237.5033
segah--sarki--curcuna--olmaz_ilac--haci_arif_bey,97df0e6f-f1a8-44bb-83ea-e13094ecc412,245.728
segah--sarki--curcuna--olmaz_ilac--haci_arif_bey,36e2f0e0-af28-463e-aada-5504abcfbfad,245.9329
segah--sarki--curcuna--olmaz_ilac--haci_arif_bey,40bf7930-1b09-4355-9935-b47f16623dd9,278.7017
segah--sarki--curcuna--olmaz_ilac--haci_arif_bey,bd1758b6-297b-47fe-97b7-bf5d94f23049,241.9219
segah--sarki--murekkepnimsofyan--olursem_yaziktir--hayri_yenigun,dd1886b1-4a06-4fab-a349-7e5964c3b491,246.3269
segah--sarki--murekkepnimsofyan--olursem_yaziktir--hayri_yenigun,1fca47e6-3e21-4db4-85fe-ad7eddba38d9,277.8695
segah--sarki--murekkepnimsofyan--olursem_yaziktir--hayri_yenigun,df47e5d3-9f8d-4975-b876-d64d2474c1a1,373.0624
ussak--sarki--duyek--aksam_oldu_huzunlendim--semahat_ozdenses,f79d0e6b-b5e1-4ad4-9ef0-81be05cce9a6,164.0259
ussak--sarki--duyek--aksam_oldu_huzunlendim--semahat_ozdenses,8a442186-8ed6-4688-a54c-a2b0337466a7,246.3553
ussak--sarki--duyek--aksam_oldu_huzunlendim--semahat_ozdenses,43745ff1-0848-4592-b1ad-9e7b172b0ebd,201.7482
ussak--sarki--duyek--aksam_oldu_huzunlendim--semahat_ozdenses,38387a0f-1e74-49d2-8051-dd4feb4d63a8,221.2419
ussak--sarki--duyek--aksam_oldu_huzunlendim--semahat_ozdenses,92ef6776-09fa-41be-8661-025f9b33be4f,245.9934
evcara--sazsemaisi--aksaksemai--dilhayat_kalfa,3ee9b4c6-a411-4e63-956f-531bf6a6f40f,337.5116
evcara--sazsemaisi--aksaksemai--dilhayat_kalfa,d07b1868-9acd-416e-aed1-489c921619ce,404.7451
evcara--sazsemaisi--aksaksemai--dilhayat_kalfa,532d2756-dd0e-4fb2-b4e1-a4d9f0a53448,123.6303
evcara--sazsemaisi--aksaksemai--dilhayat_kalfa,972e07d0-a46b-4924-8551-3669c99006ac,438.4258
ferahfeza--sazsemaisi--aksaksemai--serif_muhittin_targan,60f7b0d0-606a-4f58-9ff5-211f0facec86,219.9564
ferahfeza--sazsemaisi--aksaksemai--serif_muhittin_targan,899c47c2-0d2f-4230-8748-01b339d229af,224.7557
ferahfeza--sazsemaisi--aksaksemai--serif_muhittin_targan,35d127d1-39e1-49d9-ab81-f8180b32590c,246.6693
ferahfeza--sazsemaisi--aksaksemai--serif_muhittin_targan,5183cdc7-dc4f-4dc4-8ae0-d0f75f90b787,333.5828
ferahfeza--sazsemaisi--aksaksemai--serif_muhittin_targan,e3a22684-d237-48b5-ac27-e9b77ddd3c18,296.9597
hicaz--sazsemaisi--aksaksemai--muhittin_erev,98bb6aa9-c95c-4fc0-a99f-89f3308c2a30,496.8031
hicaz--sazsemaisi--aksaksemai--muhittin_erev,46e5abd4-a570-4dc4-a219-167b49736abe,442.7506
hicazkar--sazsemaisi--aksaksemai--tanburi_cemil_bey,4041e7ab-b208-4fdb-8305-fa5c3bc0118a,294.84
hicazkar--sazsemaisi--aksaksemai--tanburi_cemil_bey,4acd7546-d88d-45bf-8f2e-e85668925534,287.255
hicazkar--sazsemaisi--aksaksemai--tanburi_cemil_bey,f09db163-2549-4f67-bfb3-7b626f20a8c2,331.6386
hicazkar--sazsemaisi--aksaksemai--tanburi_cemil_bey,c820c003-c498-4166-819c-79eae113e5d4,294.84
hicazkar--sazsemaisi--aksaksemai--tanburi_cemil_bey,66e587cc-f484-4d25-a727-ca0373dd76ff,294.0595
huseyni--sazsemaisi--aksaksemai--lavtaci_andon,9faafb3e-b4f8-4920-a2f3-e3bab15f3238,497.2019
huseyni--sazsemaisi--aksaksemai--lavtaci_andon,3b014584-cbe2-4042-99ec-93249f43c040,443.1468
huseyni--sazsemaisi--aksaksemai--tatyos_efendi,d057a9cb-ac8e-4ae8-a3d3-a908a7f80ff4,170.099
huseyni--sazsemaisi--aksaksemai--tatyos_efendi,b713e101-37ef-4f17-ae22-bc2b5cb40c30,249.4766
huseyni--sazsemaisi--aksaksemai--tatyos_efendi,8b8d697b-cad9-446e-ad19-5e85a36aa253,202.7148
huseyni--sazsemaisi--aksaksemai--tatyos_efendi,9d195cbe-8e9f-47ef-83f0-e7c0b8af1697,222.3294
huseyni--sazsemaisi--aksaksemai--tatyos_efendi,ce142c3d-903c-4c80-8918-d10dc5fb6113,388.8324
huzzam--sazsemaisi--aksaksemai--udi_nevres_bey,97eb2ab3-11f9-4ae5-92b3-115e490a11a6,367.7332
huzzam--sazsemaisi--aksaksemai--udi_nevres_bey,711dfc98-ad15-4b6b-83f8-80dbb2fccf42,367.8657
huzzam--sazsemaisi--aksaksemai--udi_nevres_bey,14e268f3-118f-41f8-b736-d2982570740a,276.9265
huzzam--sazsemaisi--aksaksemai--udi_nevres_bey,61bda447-a3d0-4ee4-a0cd-8216bde0bb81,275.2691
isfahan--sazsemaisi--aksaksemai--tanburi_cemil_bey,9efa1a17-81a8-4898-8daa-2fa9a922a456,135.8391
isfahan--sazsemaisi--aksaksemai--tanburi_cemil_bey,42f567f4-d1fe-4f7d-ad02-5b2b4d8f6a3a,327.8577
isfahan--sazsemaisi--aksaksemai--tanburi_cemil_bey,a31b2683-a2ba-4262-9312-fa7d2d8d737b,496.5414
isfahan--sazsemaisi--aksaksemai--tanburi_cemil_bey,6e09f713-046b-4f45-b9e0-fa0051e3db08,442.438
kurdilihicazkar--sazsemaisi--aksaksemai--tatyos_efendi,13b2470a-2c7a-4676-b542-2860c9885d29,293.4178
kurdilihicazkar--sazsemaisi--aksaksemai--tatyos_efendi,b47a2181-26a1-4476-b3e4-0a2241c61aa4,293.7308
kurdilihicazkar--sazsemaisi--aksaksemai--tatyos_efendi,120a0dfb-7873-46ca-a5bd-e7bccfe5bee3,196.5573
kurdilihicazkar--sazsemaisi--aksaksemai--tatyos_efendi,044b43b8-989c-4595-994a-644f890ee5c4,146.6943
kurdilihicazkar--sazsemaisi--aksaksemai--tatyos_efendi,137771bc-2401-4cd3-b1b3-3b86977fd354,145.8655
mahur--sazsemaisi--aksaksemai--refik_talat_alpman,568c59e6-71ec-4776-be7c-2573969d2504,292.208
mahur--sazsemaisi--aksaksemai--refik_talat_alpman,94cc1a4a-81c3-4c43-8d9a-a07fac3bba86,293.4276
mahur--sazsemaisi--aksaksemai--refik_talat_alpman,a7c9cca6-3d58-4b69-94c4-6322c4da1cf2,292.3163
mahur--sazsemaisi--aksaksemai--refik_talat_alpman,06aa9086-416d-4fe0-98c2-c784c27ef633,304.0341
mahur--sazsemaisi--aksaksemai--refik_talat_alpman,b0ff86ee-25ca-415e-b377-84038efe43a9,222.8258
muhayyer--sazsemaisi--aksaksemai--tanburi_cemil_bey,96aea15f-3778-4632-824a-af48544cf0cb,248.6948
muhayyer--sazsemaisi--aksaksemai--tanburi_cemil_bey,f51ef91d-4680-4652-8e8f-ce234e5c26e0,164.522
muhayyer--sazsemaisi--aksaksemai--tanburi_cemil_bey,9f91b935-4cff-4505-9d17-f5fc930a9729,334.3275
muhayyer--sazsemaisi--aksaksemai--tanburi_cemil_bey,88e95b47-aa5a-4a45-ad7a-51b68138affc,292.7256
muhayyer--sazsemaisi--aksaksemai--tanburi_cemil_bey,fa022d35-6948-4ba7-95e8-7c63226e7502,498.1791
muhayyer--sazsemaisi--aksaksemai--tanburi_cemil_bey,3405d488-1bd7-42aa-90c7-67446b1dddc6,443.0094
muhayyer--sazsemaisi--aksaksemai--tanburi_cemil_bey,4948c836-5485-4a69-8bdc-11fe4559e78f,246.0953
muhayyer--sazsemaisi--aksaksemai--tanburi_cemil_bey,ef2e11e0-0afc-409f-a692-339afb80200e,165.2672
rast--sazsemaisi--aksaksemai--osman_bey,1c3e5ae0-3767-475b-a782-9ee1f71e121f,438.9317
rast--sazsemaisi--aksaksemai--osman_bey,00be9a4b-b85f-4601-a6d5-9ce1f5b3f91c,389.6557
saba--sazsemaisi--aksaksemai--neyzen_aziz_dede,43fd753c-9c78-4eba-b75f-a08cbd45b4d8,496.2526
saba--sazsemaisi--aksaksemai--neyzen_aziz_dede,fa17872a-bb57-4201-bfce-eae96d2c2b08,440.2914
sedaraban--sazsemaisi--aksaksemai--tanburi_cemil_bey,b28932f9-949c-4267-b5dd-b72e35d98c62,225.301
sedaraban--sazsemaisi--aksaksemai--tanburi_cemil_bey,da1050b4-2950-48d2-8d47-853908e96db3,186.3945
